country	city	At birth	0–14 years	15–24 years	25–54 years	55–64 years	Over 65	Total
Portugal	Lisbon	1.05	1.05	1.06	0.97	0.84	0.66	0.90
Puerto Rico(US)	San Juan	1.06	1.04	1.03	0.91	0.85	0.75	0.90
Qatar	Doha	1.02	1.02	2.42	5.01	3.40	1.89	3.39
Romania	Bucharest	1.06	1.06	1.05	1.03	0.89	0.68	0.95
Russia	Moscow	1.06	1.06	1.05	0.97	0.77	0.47	0.86
Rwanda	Kigali	1.03	1.02	1.01	0.91	0.81	0.67	0.96
Saint Kitts and Nevis	Basseterre	1.02	1.00	0.94	1.05	1.01	0.89	1.00
Saint Lucia	Castries	1.06	1.06	1.03	0.93	0.86	0.83	0.95
Saint Martin(France)	Marigot	1.04	0.99	0.97	0.92	0.88	0.78	0.92
Saint Pierre and Miquelon(France)	Saint-Pierre	1.06	1.07	1.08	0.94	1.07	0.75	0.94
Saint Vincent and the Grenadines	Kingstown	1.03	1.02	1.02	1.08	1.08	0.91	1.04
Samoa	Apia	1.05	1.07	1.06	1.05	1.04	0.78	1.04
San Marino	Dogana	1.09	1.12	1.10	0.89	0.94	0.82	0.94
Saudi Arabia	Riyadh	1.05	1.04	1.09	1.52	1.61	1.12	1.30
Senegal	Dakar	1.03	1.01	0.99	0.86	0.75	0.77	0.94
Serbia	Belgrade	1.07	1.06	1.07	1.02	0.94	0.72	0.95
Seychelles	Victoria	1.03	1.06	1.12	1.15	1.02	0.70	1.07
Sierra Leone	Freetown	1.03	1.00	0.96	0.92	0.90	0.70	0.95
Singapore	Singapore	1.07	1.05	0.96	0.95	1.00	0.85	0.96
Sint Maarten(Netherlands)	Lower Prince's Quarter	1.05	1.08	1.04	0.97	0.90	0.89	0.98
Slovakia	Bratislava	1.07	1.06	1.05	1.02	0.92	0.65	0.94
Slovenia	Ljubljana	1.04	1.05	1.08	1.11	0.99	0.76	1.00
Solomon Islands	Honiara	1.05	1.06	1.06	1.04	1.07	0.88	1.04
Somalia	Mogadishu	1.03	1.00	1.01	1.07	1.05	0.66	1.02
South Africa	Cape Town	1.02	1.00	0.97	1.02	0.87	0.72	0.98
South Sudan	Juba	1.05	1.04	1.05	1.05	1.23	1.35	1.06
Spain	Madrid	1.07	1.06	1.07	1.04	0.96	0.75	0.98
Spain	Madrid	1.07	1.06	1.07	1.04	0.96	0.75	0.98
Sri Lanka	Colombo	1.04	1.04	1.04	0.97	0.86	0.73	0.95
Sudan	Omdurman	1.05	1.03	1.04	0.95	1.04	1.12	1.01
Suriname	Paramaribo	1.05	1.04	1.04	1.04	0.98	0.78	1.01
Sweden	Stockholm	1.06	1.06	1.07	1.03	1.01	0.87	1.00
Switzerland	Zurich	1.06	1.06	1.05	1.00	1.01	0.80	0.98
Switzerland	Zürich	1.06	1.06	1.05	1.00	1.01	0.80	0.98
Switzerland	Zürich	1.06	1.06	1.05	1.00	1.01	0.80	0.98
Syria	Damascus	1.06	1.05	1.00	0.97	0.97	0.88	1.00
Taiwan	New Taipei	1.06	1.05	1.05	0.99	0.96	0.83	0.97
Tajikistan	Dushanbe	1.05	1.04	1.03	0.99	0.85	0.70	0.99
Tanzania	Dar es Salaam	1.03	1.02	1.01	1.01	0.86	0.71	1.00
Thailand	Bangkok	1.05	1.05	1.04	0.99	0.88	0.77	0.96
Togo	Lomé	1.03	1.01	1.00	0.99	0.90	0.76	0.98
Tonga	Nukuʻalofa	1.03	1.03	1.05	0.99	1.04	0.81	1.01
Trinidad and Tobago	Chaguanas	1.03	1.04	1.09	1.10	1.00	0.78	1.03
Tunisia	Tunis	1.06	1.07	1.03	0.95	0.98	0.90	0.99
Turkey	Istanbul	1.05	1.05	1.04	1.03	0.98	0.81	1.01
Turkmenistan	Ashgabat	1.05	1.03	1.01	0.99	0.88	0.77	0.98
Tuvalu	Funafuti	1.05	1.05	1.07	1.05	0.70	0.62	0.98
Uganda	Kampala	1.03	1.02	0.94	0.85	0.85	0.75	0.94
Ukraine	Kyiv	1.06	1.06	1.05	0.97	0.76	0.51	0.86
United Arab Emirates	Dubai	1.06	1.07	1.19	3.27	6.05	3.39	2.56
United Kingdom	London	1.05	1.05	1.05	1.05	0.98	0.82	0.99
United States	New York	1.05	1.04	1.04	1.01	0.94	0.81	0.97
Uruguay	Montevideo	1.04	1.04	1.03	0.99	0.89	0.67	0.94
Uzbekistan	Tashkent	1.06	1.05	1.05	0.99	0.89	0.75	0.99
Vanuatu	Port Vila	1.05	1.04	0.98	0.95	0.97	0.99	0.99
Venezuela	Caracas	1.05	1.05	1.03	0.99	0.92	0.84	0.99
Vietnam	Ho Chi Minh City	1.09	1.11	1.09	1.03	0.88	0.66	1.01
Wallis and Futuna(France)	Mata-Utu	1.05	1.09	1.13	1.05	0.89	0.93	1.04
Western Sahara	Laayoune	1.04	1.02	1.01	0.97	0.88	0.79	0.99
Yemen	Sana'a	1.05	1.04	1.03	1.05	0.84	0.84	1.02
Zambia	Lusaka	1.03	1.01	1.00	1.01	0.87	0.78	1.00
Zimbabwe	Harare	1.03	0.98	0.96	1.05	0.63	0.66	0.96
Czechia	Prague	1.05	1.06	1.07	1.06	0.96	0.72	0.97
Czechia	Krakow	1.05	1.06	1.07	1.06	0.96	0.72	0.97
Germany	Munich	1.05	1.06	1.04	1.01	1.00	0.79	0.96
Portugal	Oporto	1.05	1.05	1.06	0.97	0.84	0.66	0.90
Italy	Milan	1.06	1.05	1.01	0.97	0.94	0.76	0.93
Germany	Hamburg	1.05	1.06	1.04	1.01	1.00	0.79	0.96
Spain	Barcelona	1.07	1.06	1.07	1.04	0.96	0.75	0.98
France	Lyon	1.05	1.05	1.05	1.02	0.93	0.77	0.96
Switzerland	Geneva	1.06	1.06	1.05	1.00	1.01	0.80	0.98
Luxembourg	Luxembourg	1.06	1.06	1.05	1.05	1.05	0.82	1.02
Czechia	Krakow	1.05	1.06	1.07	1.06	0.96	0.72	0.97
